Time [s],Read Data
0.713447625,1
0.713448125,0
0.713450625,1
0.713451125,0
0.713452625,1
0.713453187,0
0.713454687,1
0.713455250,0
0.713457750,1
0.713458250,0
0.713460750,1
0.713461250,0
0.713463750,1
0.713464250,0
0.713466687,1
0.713467250,0
0.713468750,1
0.713469313,0
0.713470812,1
0.713471375,0
0.713473812,1
0.713474375,0
0.713476812,1
0.713477375,0
0.713479813,1
0.713480375,0
0.713482813,1
0.713483375,0
0.713484875,1
0.713485375,0
0.713486938,1
0.713487437,0
0.713489875,1
0.713490437,0
0.713492937,1
0.713493500,0
0.713495937,1
0.713496500,0
0.713498938,1
0.713499437,0
0.713500937,1
0.713501500,0
0.713503000,1
0.713503563,0
0.713506000,1
0.713506562,0
0.713509063,1
0.713509562,0
0.713512062,1
0.713512562,0
0.713515000,1
0.713515563,0
0.713517063,1
0.713517562,0
0.713519062,1
0.713519625,0
0.713522125,1
0.713522625,0
0.713525125,1
0.713525625,0
0.713528125,1
0.713528625,0
0.713531062,1
0.713531625,0
0.713533125,1
0.713533688,0
0.713535188,1
0.713535687,0
0.713538187,1
0.713538688,0
0.713541187,1
0.713541750,0
0.713544250,1
0.713544750,0
0.713547125,1
0.713547687,0
0.713549250,1
0.713549750,0
0.713551250,1
0.713551812,0
0.713554250,1
0.713554750,0
0.713557250,1
0.713557813,0
0.713560312,1
0.713560813,0
0.713563250,1
0.713563813,0
0.713565312,1
0.713565812,0
0.713567375,1
0.713567875,0
0.713570313,1
0.713570875,0
0.713573313,1
0.713573875,0
0.713576312,1
0.713576875,0
0.713579312,1
0.713579875,0
0.713581375,1
0.713581875,0
0.713583437,1
0.713583938,0
0.713586375,1
0.713586938,0
0.713589375,1
0.713589937,0
0.713592438,1
0.713592937,0
0.713595375,1
0.713595875,0
0.713597438,1
0.713597938,0
0.713599437,1
0.713600000,0
0.713602437,1
0.713603000,0
0.713605438,1
0.713606000,0
0.713608438,1
0.713609000,0
0.713611438,1
0.713611937,0
0.713613500,1
0.713614000,0
0.713615500,1
0.713616062,0
0.713618500,1
0.713619000,0
0.713621562,1
0.713622063,0
0.713624500,1
0.713625063,0
0.713627500,1
0.713628000,0
0.713629562,1
0.713630063,0
0.713631563,1
0.713632125,0
0.713634563,1
0.713635062,0
0.713637562,1
0.713638062,0
0.713640562,1
0.713641063,0
0.713643500,1
0.713644063,0
0.713645562,1
0.713646125,0
0.713647625,1
0.713648125,0
0.713650563,1
0.713651125,0
0.713653625,1
0.713654125,0
0.713656562,1
0.713657125,0
0.713659562,1
0.713660063,0
0.713661625,1
0.713662125,0
0.713663625,1
0.713664188,0
0.713666625,1
0.713667188,0
0.713669625,1
0.713670187,0
0.713672625,1
0.713673187,0
0.713675562,1
0.713676125,0
0.713677625,1
0.713678188,0
0.713679687,1
0.713680250,0
0.713682687,1
0.713683188,0
0.713685625,1
0.713686188,0
0.713688688,1
0.713689187,0
0.713691625,1
0.713692125,0
0.713693687,1
0.713694188,0
0.713695688,1
0.713696250,0
0.713698687,1
0.713699188,0
0.713701687,1
0.713702250,0
0.713704688,1
0.713705188,0
0.713707625,1
0.713708187,0
0.713709687,1
0.713710250,0
0.713711750,1
0.713712313,0
0.713714688,1
0.713715250,0
0.713717750,1
0.713718250,0
0.713720687,1
0.713721250,0
0.713723625,1
0.713724187,0
0.713725687,1
0.713726250,0
0.713727750,1
0.713728313,0
0.713730688,1
0.713731250,0
0.713733750,1
0.713734250,0
0.713736750,1
0.713737250,0
0.713739688,1
0.713740188,0
0.713741750,1
0.713742250,0
0.713743812,1
0.713744313,0
0.713746750,1
0.713747250,0
0.713749750,1
0.713750312,0
0.713752750,1
0.713753250,0
0.713755687,1
0.713756250,0
0.713757750,1
0.713758312,0
0.713759812,1
0.713760313,0
0.713762750,1
0.713763250,0
0.713765750,1
0.713766312,0
0.713768750,1
0.713769250,0
0.713771750,1
0.713772250,0
0.713773750,1
0.713774312,0
0.713775812,1
0.713776312,0
0.713778750,1
0.713779250,0
0.713781750,1
0.713782250,0
0.713784750,1
0.713785312,0
0.713787687,1
0.713788250,0
0.713789750,1
0.713790313,0
0.713791813,1
0.713792312,0
0.713794750,1
0.713795312,0
0.713797750,1
0.713798313,0
0.713800750,1
0.713801313,0
0.713803688,1
0.713804250,0
0.713805750,1
0.713806313,0
0.713807813,1
0.713808312,0
0.713810750,1
0.713811250,0
0.713813750,1
0.713814313,0
0.713816750,1
0.713817250,0
0.713819750,1
0.713820250,0
0.713821750,1
0.713822312,0
0.713823813,1
0.713824313,0
0.713826750,1
0.713827250,0
0.713829750,1
0.713830312,0
0.713832750,1
0.713833313,0
0.713835688,1
0.713836187,0
0.713837750,1
0.713838312,0
0.713839812,1
0.713840313,0
0.713842750,1
0.713843312,0
0.713845750,1
0.713846312,0
0.713848750,1
0.713849250,0
0.713851688,1
0.713852250,0
0.713853750,1
0.713854312,0
0.713855812,1
0.713856313,0
0.713858750,1
0.713859250,0
0.713861750,1
0.713862250,0
0.713864750,1
0.713865250,0
0.713867687,1
0.713868250,0
0.713869750,1
0.713870250,0
0.713871750,1
0.713872313,0
0.713874688,1
0.713875250,0
0.713877750,1
0.713878250,0
0.713880687,1
0.713881250,0
0.713883687,1
0.713884188,0
0.713885750,1
0.713886250,0
0.713887750,1
0.713888312,0
0.713890687,1
0.713891188,0
0.713893750,1
0.713894250,0
0.713896688,1
0.713897250,0
0.713899687,1
0.713900187,0
0.713901688,1
0.713902250,0
0.713903750,1
0.713904250,0
0.713906687,1
0.713907188,0
0.713909687,1
0.713910250,0
0.713912688,1
0.713913187,0
0.713915625,1
0.713916187,0
0.713917687,1
0.713918250,0
0.713919750,1
0.713920250,0
0.713922687,1
0.713923187,0
0.713925687,1
0.713926250,0
0.713928688,1
0.713929188,0
0.713931625,1
0.713932187,0
0.713933687,1
0.713934188,0
0.713935688,1
0.713936250,0
0.713938625,1
0.713939187,0
0.713941687,1
0.713942188,0
0.713944625,1
0.713945188,0
0.713947625,1
0.713948125,0
0.713949687,1
0.713950188,0
0.713951688,1
0.713952250,0
0.713954625,1
0.713955125,0
0.713957687,1
0.713958188,0
0.713960625,1
0.713961125,0
0.713963625,1
0.713964125,0
0.713965625,1
0.713966187,0
0.713967687,1
0.713968188,0
0.713970563,1
0.713971125,0
0.713973625,1
0.713974187,0
0.713976562,1
0.713977125,0
0.713979563,1
0.713980125,0
0.713981625,1
0.713982125,0
0.713983625,1
0.713984188,0
0.713986563,1
0.713987125,0
0.713989625,1
0.713990125,0
0.713992625,1
0.713993125,0
0.713995562,1
0.713996063,0
0.713997625,1
0.713998125,0
0.713999625,1
0.714000125,0
0.714002563,1
0.714003063,0
0.714005563,1
0.714006125,0
0.714008562,1
0.714009125,0
0.714011562,1
0.714012063,0
0.714013563,1
0.714014125,0
0.714015625,1
0.714016125,0
0.714018562,1
0.714019063,0
0.714021563,1
